Img1,Img2,corrAns,Equal,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruct.started,Instruct.stopped,ReadyKey.keys,ReadyKey.rt,ReadyKey.started,ReadyKey.stopped,img1.started,img1.stopped,img2.started,img2.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,text_2.started,text_2.stopped,ready_key.keys,ready_key.rt,ready_key.started,ready_key.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_4.started,text_4.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,26.471518300000298,None,right,29.610004599999684,26.471518300000298,None,,,,,,,,,,,,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\2_1.jpg,Images\2_2.jpg,right,no,0,0,0,2,,,,,,,,,,,56.24755830000004,59.2620423000003,59.71361109999998,None,right,1,14.671880299999884,59.71361109999998,None,74.42333610000014,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\2_1.jpg,Images\2_1.jpg,left,yes,0,1,1,3,,,,,,,,,,,75.47549640000034,78.48148660000015,78.96635770000012,None,left,1,1.5150966000001063,78.96635770000012,None,80.50461620000033,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\1_1.jpg,Images\1_1.jpg,left,yes,0,2,2,0,,,,,,,,,,,81.55607280000004,84.55955240000003,85.04441980000001,None,left,1,1.1568984000000455,85.04441980000001,None,86.22935959999995,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\1_1.jpg,Images\1_2.jpg,right,no,0,3,3,1,,,,,,,,,,,87.28252250000014,90.28704930000004,90.77181910000036,None,right,1,1.8056646,90.77181910000036,None,92.61329330000035,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\3_2.jpg,Images\3_2.jpg,left,yes,0,4,4,5,,,,,,,,,,,93.64804850000019,96.64894150000009,97.15029940000022,None,left,1,3.66699460000018,97.15029940000022,None,100.84008050000011,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\3_1.jpg,Images\3_2.jpg,right,no,0,5,5,4,,,,,,,,,,,101.87720010000021,104.88106470000002,105.38241010000002,None,right,1,1.8030757999999878,105.38241010000002,None,107.20419660000016,None,,,,,,,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.20443599999999,None,left,9.140996099999938,108.20443599999999,None,,,,,,,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\5_1.jpg,Images\5_1.jpg,left,yes,,,,,0,0,0,0,,,,,,,117.51456899999994,120.52709700000014,120.99506060000022,None,left,1,3.5424102000001767,120.99506060000022,None,,,,,,,,,space,1.0854025999997248,124.57195000000002,None,124.57195000000002,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\6_1.jpg,Images\6_2.jpg,right,no,,,,,0,1,1,1,,,,,,,125.86128780000035,128.87610010000026,129.34404429999995,None,right,1,1.2654169000002184,129.34404429999995,None,,,,,,,,,space,0.611974200000077,130.62946310000007,None,130.62946310000007,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\7_1.jpg,Images\7_2.jpg,right,no,,,,,0,2,2,2,,,,,,,131.49149410000018,134.5033545000001,134.97144920000028,None,right,1,2.965990000000147,134.97144920000028,None,,,,,,,,,space,0.6494821999999658,137.95988560000023,None,137.95988560000023,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\8_1.jpg,Images\8_1.jpg,left,yes,,,,,0,3,3,3,,,,,,,138.7165960000002,141.71686510000018,142.21817099999998,None,left,1,1.735334800000146,142.21817099999998,None,,,,,,,,,space,1.5582405000000108,143.9711701000001,None,143.9711701000001,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\9_1.jpg,Images\9_2.jpg,right,no,,,,,0,4,4,4,,,,,,,145.72265080000034,148.7299922000002,149.2146699,None,right,1,1.434862399999929,149.2146699,None,,,,,,,,,space,0.8702243999996426,150.6671150000002,None,150.6671150000002,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\5_1.jpg,Images\5_2.jpg,right,no,,,,,0,5,5,5,,,,,,,151.74365160000025,154.75804319999997,155.2260053,None,left,0,4.607707399999981,155.2260053,None,,,,,,,,,space,0.9103329999998095,159.8510008000003,None,159.8510008000003,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\10_1.jpg,Images\10_2.jpg,right,no,,,,,0,6,6,6,,,,,,,160.95257070000025,163.95864150000034,164.44323050000003,None,left,0,3.4383606000001237,164.44323050000003,None,,,,,,,,,space,0.4939076999999088,167.8994428000001,None,167.8994428000001,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\11_1.jpg,Images\11_1.jpg,left ,yes,,,,,0,7,7,7,,,,,,,168.51913700000023,171.52287879999994,172.02423540000018,None,left,0,3.2811553999999887,172.02423540000018,None,,,,,,,,,space,0.5592670000000908,175.3300647000001,None,175.3300647000001,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\8_1.jpg,Images\8_2.jpg,right ,no,,,,,0,8,8,8,,,,,,,176.0766168,179.08712200000036,179.57164790000024,None,right,0,1.069799200000034,179.57164790000024,None,,,,,,,,,space,0.6006245999997191,180.65674130000025,None,180.65674130000025,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\12_1.jpg,Images\12_1.jpg,left,yes,,,,,0,9,9,9,,,,,,,181.37281470000016,184.38032750000002,184.86502130000008,None,left,1,6.00844780000034,184.86502130000008,None,,,,,,,,,space,0.668724800000291,190.8926220000003,None,190.8926220000003,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\13_1.jpg,Images\13_1.jpg,left,yes,,,,,0,10,10,10,,,,,,,191.83085470000015,194.8331677000001,195.33467740000015,None,left,1,2.890779500000008,195.33467740000015,None,,,,,,,,,space,0.5688779000001887,198.25645639999993,None,198.25645639999993,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\11_1.jpg,Images\11_2.jpg,right ,no,,,,,0,11,11,11,,,,,,,199.04952060000005,202.06353220000028,202.5315174000002,None,right,0,2.2939375000000837,202.5315174000002,None,,,,,,,,,space,0.46130600000014965,204.85203060000003,None,204.85203060000003,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\12_1.jpg,Images\12_2.jpg,right,no,,,,,0,12,12,12,,,,,,,205.55718810000008,208.55907969999998,209.06046719999995,None,right,1,2.709019100000205,209.06046719999995,None,,,,,,,,,space,0.5068083000001025,211.79854130000012,None,211.79854130000012,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
Images\13_1.jpg,Images\13_2.jpg,right,no,,,,,0,13,13,13,,,,,,,212.5169595000002,215.52213660000007,216.00682720000032,None,right,1,14.898639399999865,216.00682720000032,None,,,,,,,,,space,0.9388555999998971,230.9344556000001,None,230.9344556000001,None,,,testesFinais,001,2023_Mar_14_1014,PsychoTest,2021.2.3,59.880203664631786,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.9029359000001,None,,,,,,,
